array_size,thread_count,cutoff,time_taken
1048576,2,16384,505
1048576,2,32768,401
1048576,2,65536,159
1048576,2,131072,132
1048576,2,262144,118
1048576,2,524288,119
1048576,2,1048576,154
2097152,2,16384,315
2097152,2,32768,340
2097152,2,65536,300
2097152,2,131072,252
2097152,2,262144,290
2097152,2,524288,257
2097152,2,1048576,206
2097152,2,2097152,293
4194304,2,16384,686
4194304,2,32768,622
4194304,2,65536,566
4194304,2,131072,613
4194304,2,262144,635
4194304,2,524288,542
4194304,2,1048576,542
4194304,2,2097152,466
4194304,2,4194304,599
8388608,2,16384,1417
8388608,2,32768,1466
8388608,2,65536,1357
8388608,2,131072,1303
8388608,2,262144,1893
8388608,2,524288,1272
8388608,2,1048576,1147
8388608,2,2097152,991
8388608,2,4194304,895
8388608,2,8388608,1341
16777216,2,16384,5848
16777216,2,32768,3284
16777216,2,65536,2945
16777216,2,131072,2794
16777216,2,262144,2785
16777216,2,524288,2809
16777216,2,1048576,2596
16777216,2,2097152,2391
16777216,2,4194304,1947
16777216,2,8388608,1668
16777216,2,16777216,2413
