array_size,thread_count,cutoff,time_taken
1048576,4,16384,509
1048576,4,32768,235
1048576,4,65536,162
1048576,4,131072,132
1048576,4,262144,108
1048576,4,524288,115
1048576,4,1048576,154
2097152,4,16384,274
2097152,4,32768,245
2097152,4,65536,241
2097152,4,131072,203
2097152,4,262144,211
2097152,4,524288,201
2097152,4,1048576,260
2097152,4,2097152,283
4194304,4,16384,536
4194304,4,32768,477
4194304,4,65536,418
4194304,4,131072,552
4194304,4,262144,435
4194304,4,524288,491
4194304,4,1048576,401
4194304,4,2097152,456
4194304,4,4194304,627
8388608,4,16384,1146
8388608,4,32768,1145
8388608,4,65536,986
8388608,4,131072,906
8388608,4,262144,1074
8388608,4,524288,890
8388608,4,1048576,871
8388608,4,2097152,740
8388608,4,4194304,862
8388608,4,8388608,1121
16777216,4,16384,3709
16777216,4,32768,2209
16777216,4,65536,2015
16777216,4,131072,2035
16777216,4,262144,2451
16777216,4,524288,2003
16777216,4,1048576,1789
16777216,4,2097152,1720
16777216,4,4194304,1417
16777216,4,8388608,1672
16777216,4,16777216,2300
